Zone,mag1,mag2,mag3,mag4,mag5,mag6,mag7,mag8,mag9,mag10,mag11,mag12,mag13,mag14,mag15,mag16,mag17,mag18,mag19,mag20,mag21,mag22,mag23,mag24,mag25,mag26,mag27,mag28,mag29,mag30,mag31,mag32,mag33,mag34,mag35,mag36,mag37,mag38,mag39,mag40,mag41,mag42,mag43,mag44,mag45,mag46,mag47,mag48,mag49,mag50,mag51,mag52
1,12.64911064,12.64911064,12.08304597,11.70469991,11.70469991,10.44030651,10.77032961,10.44030651,10.44030651,9.486832981,9.486832981,9.486832981,8.544003745,8.94427191,8.544003745,8.94427191,8.062257748,8.062257748,8.062257748,8.062257748,7.211102551,7.211102551,7.211102551,7.810249676,7.810249676,7.071067812,7.071067812,7.071067812,7.810249676,7.071067812,7.071067812,9.219544457,7.810249676,7.071067812,7.071067812,7.071067812,7.071067812,7.071067812,7.071067812,7.810249676,7.211102551,7.211102551,7.211102551,7.211102551,7.211102551,6.708203932,6.708203932,6.708203932,6.32455532,6.32455532,6.08276253,6.08276253
1,13.03840481,13.03840481,12,12.04159458,12.04159458,11.18033989,11.04536102,11.04536102,10.19803903,10.04987562,10.04987562,10.04987562,9.055385138,9,8.062257748,9,8,8,8,8,7,7.071067812,7,7.071067812,7.071067812,7.071067812,7.280109889,7.280109889,6.32455532,7.280109889,6.32455532,3.605551275,7.280109889,7.280109889,7.280109889,7.280109889,7.280109889,7.280109889,6.32455532,7.280109889,7.071067812,7.071067812,7.071067812,7.071067812,7,6,7,6.08276253,6.08276253,6.08276253,6.32455532,6.32455532
1,13.45362405,13.45362405,12.72792206,13.45362405,12.04159458,11.40175425,11.40175425,10.63014581,10.63014581,10.63014581,10.63014581,9.899494937,9.899494937,9.219544457,8.485281374,8.485281374,7.810249676,7.810249676,7.810249676,7.810249676,7.810249676,7.211102551,6.403124237,7.211102551,7.211102551,6.708203932,6.708203932,6.708203932,7.615773106,6.32455532,6.708203932,7.810249676,6.708203932,6.708203932,6.32455532,6.32455532,6.708203932,6.708203932,6.708203932,6.708203932,6.708203932,6.708203932,6.708203932,6.708203932,5.830951895,5.830951895,6.403124237,6.403124237,5.656854249,5.656854249,5.656854249,5
1,13.41640786,13.41640786,12.52996409,13.41640786,12.08304597,12.08304597,11.18033989,10.77032961,10.77032961,10.29563014,9.848857802,10.29563014,9.433981132,9.433981132,8.94427191,8.94427191,8.062257748,8.062257748,8.602325267,8.062257748,7.211102551,7.211102551,6.403124237,7.071067812,7.071067812,7.071067812,7.071067812,7.071067812,7.071067812,6.403124237,6.403124237,5.385164807,7.071067812,6.403124237,7.071067812,6.403124237,6.403124237,7.071067812,6.403124237,6.403124237,5.656854249,6.403124237,5.656854249,5.656854249,5.830951895,5.830951895,5.830951895,5.830951895,5.830951895,5.385164807,5.385164807,5.099019514
1,13.89244399,12.52996409,13.41640786,12.52996409,12.52996409,10.81665383,11.66190379,10.81665383,10.81665383,10.29563014,10.29563014,9.433981132,9.433981132,8.94427191,8.94427191,8.94427191,8.544003745,7.615773106,7.615773106,7.615773106,7.615773106,7.615773106,7.615773106,7.280109889,7.280109889,7.280109889,7.280109889,7.280109889,7.280109889,7.071067812,7.280109889,10.63014581,7.280109889,7.280109889,6.32455532,6.32455532,6.32455532,6.32455532,6.32455532,6.32455532,6.32455532,6.32455532,6.32455532,5.385164807,5.385164807,5.385164807,5.830951895,5.830951895,5,5,5,4.242640687
1,14.76482306,14.31782106,13.41640786,13.41640786,12.52996409,12.52996409,12.52996409,11.66190379,11.66190379,10.29563014,11.18033989,10.29563014,10.29563014,9.848857802,8.94427191,9.848857802,9.486832981,9.486832981,8.544003745,8.544003745,8.544003745,8.246211251,8.544003745,8.246211251,8.246211251,8.246211251,8.246211251,8.246211251,8.246211251,8.246211251,8.246211251,4.472135955,8.246211251,7.280109889,7.280109889,7.280109889,7.280109889,7.280109889,6.32455532,6.32455532,6.32455532,6.32455532,6.32455532,6.32455532,6.32455532,5.385164807,5.385164807,5.385164807,5.830951895,5.830951895,5.830951895,5
1,12.80624847,12.80624847,12.04159458,12.80624847,11.40175425,10.81665383,10,10,10,9.219544457,8.602325267,9.219544457,9.219544457,8.485281374,7.810249676,8.485281374,7.810249676,7.071067812,7.810249676,7.810249676,7.071067812,7.810249676,6.403124237,7.810249676,7.810249676,6.403124237,6.403124237,6.403124237,7.211102551,6.403124237,6.403124237,7.071067812,6.403124237,6.403124237,5.656854249,5.656854249,5.656854249,5.656854249,5.656854249,5.656854249,5,4.242640687,4.242640687,4.242640687,4.242640687,4.242640687,4.242640687,4.472135955,4.472135955,4.472135955,4.472135955,4.123105626
1,12.80624847,12.20655562,12.20655562,12.20655562,10.81665383,10.29563014,10,9.433981132,9.433981132,9.433981132,9.433981132,8.602325267,8.602325267,7.810249676,7.211102551,7.810249676,7.810249676,7.071067812,7.071067812,7.071067812,7.071067812,7.071067812,6.403124237,7.071067812,7.071067812,7.071067812,6.403124237,7.071067812,6.403124237,5.656854249,5.656854249,5.656854249,5.656854249,5.656854249,5.656854249,5,5,5,5,4.242640687,4.242640687,4.242640687,4.242640687,4.242640687,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.16227766,3.16227766
1,14.2126704,12.80624847,13.60147051,12.80624847,12.80624847,11.3137085,12.04159458,10.63014581,10.63014581,10.63014581,9.899494937,9.219544457,9.219544457,9.219544457,8.485281374,8.602325267,8.062257748,8.602325267,7.211102551,8.602325267,7.810249676,8.062257748,7.211102551,8.062257748,8.062257748,7.211102551,6.708203932,7.211102551,7.211102551,6.708203932,7.211102551,7.071067812,6.403124237,6.403124237,5.830951895,5,5,5,5,4.242640687,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,2.828427125,2.828427125
1,15.8113883,15,15,15,14.2126704,13.45362405,12.80624847,12.80624847,12.04159458,12.04159458,12.04159458,11.40175425,11.40175425,11.40175425,10.63014581,10,9.433981132,9.433981132,9.433981132,9.433981132,9.433981132,9.433981132,8.602325267,9.433981132,9.433981132,8.94427191,8.94427191,9.433981132,9.433981132,8.062257748,8.602325267,8.062257748,8.602325267,7.211102551,7.211102551,6.403124237,6.403124237,6.403124237,5.656854249,5.656854249,5,5,5,4.472135955,4.472135955,3.605551275,3.605551275,3.605551275,3.605551275,4.242640687,4.242640687,4.242640687
