,Zone,seq,timestamp,taget_seq,taget,mac,rssi,rate,sig_mode,mcs,cwb,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel_primary,channel_secondary,local_timestamp,ant,sig_len,rx_state,len,first_word_invalid,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSI_DATA,1,6443,18:13.8,20,move,1a:00:00:00:00:00,-47,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,67519946,0,44,0,104,0,-6,-4,-6,-4,-6,-4,-6,-4,-6,-4,-6,-4,-6,-3,-6,-3,-6,-3,-6,-2,-6,-2,-6,-2,-6,-2,-6,-1,-6,-1,-6,-1,-6,0,-6,0,-6,0,-6,1,-6,1,-6,1,-6,1,-6,2,-6,2,-6,2,-7,3,-7,3,-7,4,-7,3,-7,3,-8,3,-8,3,-8,3,-8,3,-8,3,-8,3,-8,3,-8,2,-8,2,-8,1,-8,1,-8,1,-7,0,-7,0,-7,0,-7,-1,-7,-1,-7,-1,-7,-1,-6,-2,-6,-2
CSI_DATA,1,6444,18:13.8,20,move,1a:00:00:00:00:00,-47,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,67531131,0,44,0,104,0,2,7,2,7,3,7,3,6,3,6,3,6,3,6,3,6,3,5,3,5,3,5,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,3,5,3,5,3,5,3,4,2,6,2,6,2,6,2,6,2,7,2,7,2,6,3,7,3,7,2,6,3,7,3,6,4,6,3,6,4,6,4,6,3,6,4,5,4,5,4,5,4,4,4,4,4,3,4,3,5,3,4,3,4,2,4,1,4,1,4
CSI_DATA,1,6445,18:13.8,20,move,1a:00:00:00:00:00,-46,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,67539945,0,44,0,104,0,-9,-1,-9,-1,-9,-1,-10,-1,-10,-1,-9,-1,-9,-1,-8,-1,-9,-1,-8,0,-8,0,-8,1,-8,1,-8,1,-8,1,-8,2,-7,2,-7,2,-8,3,-7,3,-7,3,-8,3,-7,3,-8,4,-7,5,-7,5,-7,5,-8,5,-8,5,-7,5,-8,5,-8,5,-8,5,-8,5,-8,4,-7,4,-9,4,-9,4,-9,3,-8,3,-8,3,-8,2,-8,2,-7,2,-7,1,-7,1,-7,1,-7,1,-7,0,-7,0,-7,-1,-6,-1
CSI_DATA,1,6446,18:13.8,20,move,1a:00:00:00:00:00,-45,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,67549935,0,44,0,104,0,-10,-4,-9,-4,-10,-3,-10,-3,-10,-3,-9,-4,-9,-3,-9,-3,-9,-3,-9,-2,-9,-2,-9,-1,-9,-2,-9,-1,-9,-1,-9,0,-9,0,-8,1,-8,1,-8,1,-9,1,-8,2,-8,1,-9,3,-9,3,-9,2,-9,3,-10,3,-10,4,-10,3,-10,3,-10,3,-10,2,-10,2,-10,2,-10,1,-10,1,-10,1,-10,1,-9,0,-9,0,-9,0,-9,0,-8,-1,-8,-1,-8,-1,-8,-2,-7,-2,-7,-2,-7,-2,-6,-3,-6,-3
CSI_DATA,1,6447,18:13.8,20,move,1a:00:00:00:00:00,-44,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,67560076,0,44,0,104,0,9,3,9,3,9,3,9,3,8,3,8,3,8,3,8,2,8,2,8,2,8,2,8,1,8,1,8,0,8,0,8,0,8,-1,8,-1,8,-1,8,-1,8,-1,8,-2,8,-2,9,-3,9,-3,9,-3,9,-3,10,-3,10,-4,9,-4,9,-3,10,-3,10,-3,9,-2,10,-2,10,-2,10,-2,10,-1,9,-1,9,-1,9,0,9,1,9,0,8,1,7,1,7,1,7,2,7,2,6,2,6,2,5,3,4,3
CSI_DATA,1,6448,18:13.8,20,move,1a:00:00:00:00:00,-44,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,67582330,0,44,0,104,0,4,8,5,8,5,7,5,8,5,8,5,7,5,7,5,6,5,6,6,6,6,6,6,6,6,5,6,4,5,4,6,4,7,4,6,3,7,3,7,3,7,3,7,2,7,2,9,1,9,2,9,1,9,1,10,1,10,2,10,1,9,2,10,2,10,2,10,3,10,3,10,4,10,3,9,3,9,4,8,4,8,5,8,4,7,4,7,4,6,5,6,4,5,5,5,4,4,5,4,5,3,5,2,5
CSI_DATA,1,6449,18:13.8,20,move,1a:00:00:00:00:00,-44,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,67582471,0,44,0,104,0,-8,-6,-9,-6,-9,-5,-9,-5,-9,-4,-8,-5,-9,-5,-8,-4,-9,-4,-8,-3,-9,-4,-9,-3,-9,-3,-9,-2,-9,-1,-9,-1,-9,0,-8,0,-8,0,-9,1,-9,1,-9,1,-9,1,-10,2,-10,3,-10,2,-10,3,-11,3,-11,4,-10,4,-10,3,-11,3,-11,3,-11,2,-11,2,-10,1,-11,1,-11,1,-11,1,-10,1,-10,0,-10,0,-9,0,-9,0,-9,-1,-8,-1,-8,-2,-8,-2,-8,-2,-7,-3,-7,-3,-6,-3
CSI_DATA,1,6450,18:13.8,20,move,1a:00:00:00:00:00,-44,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,67591723,0,44,0,104,0,-6,7,-5,7,-4,8,-5,8,-5,8,-5,8,-4,8,-4,7,-4,8,-3,8,-3,8,-2,8,-2,7,-2,8,-2,7,-1,8,0,8,0,8,0,7,1,8,1,7,1,8,2,7,3,8,2,8,3,8,4,9,3,9,3,10,4,9,3,10,3,10,2,10,2,10,3,10,2,10,2,10,1,10,1,9,0,10,0,9,0,9,-1,9,0,8,-1,7,-1,7,-2,7,-2,7,-2,6,-2,6,-3,5,-3,5
CSI_DATA,1,6451,18:13.8,20,move,1a:00:00:00:00:00,-45,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,67599948,0,44,0,104,0,5,-7,5,-8,4,-8,5,-8,4,-7,5,-8,4,-8,4,-7,4,-8,3,-8,3,-8,3,-8,3,-8,2,-8,2,-8,1,-8,1,-9,0,-8,0,-8,0,-8,-1,-8,-1,-8,-1,-8,-1,-9,-2,-9,-2,-10,-3,-10,-2,-10,-2,-11,-3,-10,-2,-11,-1,-11,-1,-10,-1,-10,-2,-10,-1,-10,0,-11,0,-10,0,-10,0,-9,1,-9,1,-9,1,-9,1,-8,2,-8,1,-7,2,-7,2,-7,2,-6,3,-6,3,-5,3,-5
CSI_DATA,1,6452,18:13.9,20,move,1a:00:00:00:00:00,-46,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,67609938,0,44,0,104,0,6,-6,6,-6,6,-6,6,-6,6,-6,5,-6,5,-6,5,-6,5,-7,4,-6,5,-7,4,-7,4,-7,3,-7,3,-6,3,-7,2,-7,2,-7,1,-7,1,-7,2,-7,1,-8,1,-8,1,-9,1,-9,0,-9,0,-10,0,-10,1,-10,0,-10,1,-10,1,-9,2,-10,2,-9,1,-10,2,-9,2,-10,3,-9,3,-8,3,-8,3,-8,3,-8,4,-7,3,-6,3,-6,3,-6,4,-5,4,-5,4,-4,4,-4,3,-4,4,-3
